Obs,Setting Name,Address,Confirmed Staff,Symptomatic Staff,collect_time
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-05-28
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-05-28
5,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",5,0,2020-05-28
6,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-05-28
7,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-05-28
8,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-05-28
9,Domino's Pizza,"3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",5,3,2020-05-28
10,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,3,2020-05-28
11,F. Gavina & Sons Inc,"2700 Fruitland Ave, Vernon, CA, 90058",9,0,2020-05-28
12,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",19,0,2020-05-28
13,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-05-28
14,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-05-28
15,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-05-28
16,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",14,0,2020-05-28
17,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-05-28
18,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-05-28
19,Ralphs #759,"10861 Weyburn Ave, Los Angeles, CA, 90024",5,0,2020-05-28
20,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020-05-28
21,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",20,0,2020-05-28
22,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",5,0,2020-05-28
23,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",153,0,2020-05-28
24,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-05-28
25,Vie De France Yamazaki,"3046 E 50th St, Vernon, CA, 90058",15,0,2020-05-28
26,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-05-28
27,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-05-28
28,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",5,1,2020-05-28
Total,,,429,26,2020-05-28
1,Ahmanson Recruit Training Center*,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-05-29
2,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",8,0,2020-05-29
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-05-29
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-05-29
5,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,0,2020-05-29
6,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-05-29
7,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-05-29
8,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-05-29
9,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-05-29
10,F. Gavina & Sons Inc,"2700 Fruitland Ave, Vernon, CA, 90058",9,0,2020-05-29
11,Fresh And Ready Foods,"1145 Arroyo St Unit B, San Fernando, CA, 91340",19,0,2020-05-29
12,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-05-29
13,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-05-29
14,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-05-29
15,Mission Food,"14200 Arminta St, Panorama City, CA, 91402",14,0,2020-05-29
16,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-05-29
17,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-05-29
18,Ralphs #759,"10861 Weyburn Ave, Los Angeles, CA, 90024",5,0,2020-05-29
19,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020-05-29
20,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",20,0,2020-05-29
21,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",5,0,2020-05-29
22,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",153,0,2020-05-29
23,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-05-29
24,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-05-29
25,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-05-29
26,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",5,1,2020-05-29
Total,,,410,21,2020-05-29
1,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-05-30
2,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-05-30
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-05-30
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-05-30
5,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-05-30
6,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-05-30
7,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-05-30
8,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-05-30
9,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-05-30
10,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-05-30
11,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-05-30
12,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-05-30
13,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-05-30
14,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-05-30
15,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-05-30
16,Ralphs #759,"10861 Weyburn Ave, Los Angeles, CA, 90024",5,0,2020-05-30
17,Ralphs Hollywood,"7257 W Sunset Blvd, Los Angeles, CA, 90046",22,0,2020-05-30
18,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",75,0,2020-05-30
19,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-05-30
20,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",153,0,2020-05-30
21,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-05-30
22,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-05-30
23,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-05-30
24,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-05-30
Total,,,441,24,2020-05-30
1,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-05-31
2,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-05-31
3,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-05-31
4,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-05-31
5,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-05-31
6,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-05-31
7,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-05-31
8,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-05-31
9,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-05-31
10,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-05-31
11,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-05-31
12,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-05-31
13,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-05-31
14,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-05-31
15,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-05-31
16,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",75,0,2020-05-31
17,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-05-31
18,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",153,0,2020-05-31
19,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-05-31
20,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-05-31
21,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-05-31
22,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-05-31
Total,,,414,24,2020-05-31
1,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-01
2,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-01
3,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-01
4,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-01
5,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-01
6,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-01
7,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-06-01
8,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-06-01
9,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-01
10,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-06-01
11,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-06-01
12,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-01
13,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-01
14,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-06-01
15,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-06-01
16,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-01
17,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",75,0,2020-06-01
18,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-06-01
19,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",165,0,2020-06-01
20,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-01
21,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-01
22,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-01
23,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-01
Total,,,431,24,2020-06-01
1,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-02
2,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-02
3,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-02
4,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-02
5,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-02
6,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-02
7,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-06-02
8,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-06-02
9,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-02
10,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,0,2020-06-02
11,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-06-02
12,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-02
13,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-02
14,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-06-02
15,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-06-02
16,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-02
17,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",75,0,2020-06-02
18,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-06-02
19,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",165,0,2020-06-02
20,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-02
21,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-02
22,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-02
23,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-02
Total,,,431,23,2020-06-02
1,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-03
2,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-03
3,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-03
4,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-03
5,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-03
6,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-03
7,Cal Western Manufacturers,"16539 S Main St, Gardena, CA, 90248",13,0,2020-06-03
8,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-06-03
9,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-06-03
10,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-03
11,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-06-03
12,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-06-03
13,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-03
14,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-03
15,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-06-03
16,Northgate Gonzalez Markets,"10801 S Prairie Ave, Inglewood, CA, 90303",14,0,2020-06-03
17,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-03
18,Providence Holy Cross Sub-Acute Care Center,"11600 Indian Hills Rd, A, Mission Hills, CA, 91345",2,0,2020-06-03
19,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",75,0,2020-06-03
20,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-06-03
21,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",166,0,2020-06-03
22,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-03
23,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-03
24,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-03
25,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-03
Total,,,447,24,2020-06-03
1,99 Ranch Market #3,"1015 Nogales St, Rowland Heights, CA, 91748",4,0,2020-06-04
2,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-04
3,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-04
4,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-04
5,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-04
6,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-04
7,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-04
8,Cal Western Manufacturers,"16539 S Main St, Gardena, CA, 90248",14,0,2020-06-04
9,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",24,0,2020-06-04
10,Decore-Ative Specialties,"4414 Azusa Canyon Rd, Irwindale, CA, 91706",8,0,2020-06-04
11,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-04
12,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",14,1,2020-06-04
13,Golden West Food Group,"4401 S Downey Rd, Vernon, CA, 90058",6,0,2020-06-04
14,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-04
15,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-04
16,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",9,2,2020-06-04
17,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-04
18,Providence Holy Cross Sub-Acute Care Center,"11600 Indian Hills Rd, A, Mission Hills, CA, 91345",2,0,2020-06-04
19,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",83,0,2020-06-04
20,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",10,3,2020-06-04
21,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",168,0,2020-06-04
22,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-04
23,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-04
24,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-04
25,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-04
Total,,,448,24,2020-06-04
1,99 Ranch Market #3,"1015 Nogales St, Rowland Heights, CA, 91748",5,0,2020-06-05
2,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-05
3,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-05
4,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-05
5,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-05
6,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-05
7,Byd Coach & Bus,"46147 BYD Blvd, Lancaster, CA, 93534",4,1,2020-06-05
8,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-05
9,Cal Western Manufacturers,"16539 S Main St, Gardena, CA, 90248",14,0,2020-06-05
10,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",26,0,2020-06-05
11,California Ranch Food Company Inc.,"4481 S Downey Rd, Vernon, CA, 90058",5,0,2020-06-05
12,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-05
13,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",15,0,2020-06-05
14,Golden West Trading Inc,"4401 S Downey Rd, Vernon, CA, 90058",8,0,2020-06-05
15,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-05
16,J And J Snack Foods Corp. of California,"5353 S Downey Rd, Vernon, CA, 90058",5,0,2020-06-05
17,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-05
18,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",11,2,2020-06-05
19,Mercury Air Group,"6041 W Imperial Hwy, Los Angeles, CA, 90045",5,0,2020-06-05
20,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-05
21,Providence Holy Cross Sub-Acute Care Center,"11600 Indian Hills Rd, A, Mission Hills, CA, 91345",2,0,2020-06-05
22,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",83,0,2020-06-05
23,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",12,3,2020-06-05
24,Saputo Cheese Usa Inc.,"5611 Imperial Hwy, South Gate, CA, 90280",68,0,2020-06-05
25,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",169,0,2020-06-05
26,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-05
27,Square-H Brands Inc.,"2731 S Soto St, Vernon, CA, 90058",18,0,2020-06-05
28,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-05
29,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-05
30,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-05
Total,,,556,24,2020-06-05
1,99 Ranch Market #3,"1015 Nogales St, Rowland Heights, CA, 91748",5,0,2020-06-06
2,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-06
3,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-06
4,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-06
5,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-06
6,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-06
7,Byd Coach & Bus,"46147 BYD Blvd, Lancaster, CA, 93534",4,1,2020-06-06
8,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-06
9,Cal Western Manufacturers,"16539 S Main St, Gardena, CA, 90248",14,0,2020-06-06
10,California Farms Meat Company,"4451 S Downey Rd, Vernon, CA, 90058",26,0,2020-06-06
11,California Ranch Food Company Inc.,"4481 S Downey Rd, Vernon, CA, 90058",5,0,2020-06-06
12,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-06
13,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",15,0,2020-06-06
14,Golden West Trading Inc,"4401 S Downey Rd, Vernon, CA, 90058",8,0,2020-06-06
15,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-06
16,J And J Snack Foods Corp. of California,"5353 S Downey Rd, Vernon, CA, 90058",5,0,2020-06-06
17,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-06
18,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",11,2,2020-06-06
19,Mercury Air Group,"6041 W Imperial Hwy, Los Angeles, CA, 90045",5,0,2020-06-06
20,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-06
21,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",83,0,2020-06-06
22,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",12,3,2020-06-06
23,Saputo Cheese Usa Inc.,"5611 Imperial Hwy, South Gate, CA, 90280",68,0,2020-06-06
24,Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",169,0,2020-06-06
25,South Central Family Health Center-Huntington Park,"2680 Saturn Ave, Huntington Park, CA, 90255",3,1,2020-06-06
26,Square-H Brands Inc.,"2731 S Soto St, Vernon, CA, 90058",18,0,2020-06-06
27,Vons Glendale,"311 W Los Feliz Rd, Glendale, CA, 91204",9,0,2020-06-06
28,Western General Insurance Company,"5230 Las Virgenes Rd, Calabasas, CA, 91302",13,1,2020-06-06
29,Williams Sonoma Warehouse,"21508 Baker Pkwy, Walnut, CA, 91789",8,0,2020-06-06
Total,,,554,24,2020-06-06
1,99 Ranch Market #3,"1015 Nogales St, Rowland Heights, CA, 91748",5,0,2020-06-07
2,99 Ranch Market #6,"1340 W Artesia Blvd, Gardena, CA, 90248",5,0,2020-06-07
3,Ahmanson Recruit Training Center *,"5651 W Manchester Ave, Los Angeles, CA, 90045",1,0,2020-06-07
4,American Meat Companies,"5201 Industry Ave, Pico Rivera, CA, 90660",9,0,2020-06-07
5,Bocchi Laboratory,"26455 Ruether Ave, Santa Clarita, CA, 91350",8,8,2020-06-07
6,Bristol Farms,"9039 Beverly Blvd, West Hollywood, CA, 90048",11,0,2020-06-07
7,Byd Coach & Bus,"46147 BYD Blvd, Lancaster, CA, 93534",4,0,2020-06-07
8,CLW Foods,"3425 E Vernon Ave, Vernon, CA, 90058",6,1,2020-06-07
9,Cal Western Manufacturers,"16539 S Main St, Gardena, CA, 90248",14,0,2020-06-07
10,Department of Public Social Services,"5445 Whittier Blvd, Los Angeles, CA, 90022",4,4,2020-06-07
11,East Los Angeles Sherriff's Station,"5019 E 3rd St, Los Angeles, CA, 90022",15,0,2020-06-07
12,H. Mart Arcadia,"1101 W Huntington Dr, Arcadia, CA, 91007",9,0,2020-06-07
13,J And J Snack Foods Corp. of California,"5353 S Downey Rd, Vernon, CA, 90058",5,0,2020-06-07
14,Kia of DTLA Service/Parts,"1945 S Flower St, Los Angeles, CA, 90007",2,3,2020-06-07
15,LAC DPSS Florence Office,"1740 E Gage Ave, Los Angeles, CA, 90001",11,2,2020-06-07
16,Mercury Air Group,"6041 W Imperial Hwy, Los Angeles, CA, 90045",5,0,2020-06-07
17,Overhill Farms Inc,"2727 E Vernon Ave, Vernon, CA, 90058",18,0,2020-06-07
18,Ralphs Ice Plant And Warehouse,"2201 S Wilmington Ave, Compton, CA, 90220",83,0,2020-06-07
19,Rose & Shore Inc,"5151 Alcoa Ave # 5151, Vernon, CA, 90058",12,3,2020-06-07
